5.766 0.34558E+01 18.00000 2.0
5.766 0.35157E+01 18.00000 2.0
5.766 0.35726E+01 18.00000 2.0
5.766 0.36266E+01 18.00000 2.0
5.766 0.36781E+01 18.00000 2.0
5.766 0.37272E+01 18.00000 2.0
5.766 0.37740E+01 18.00000 2.0
5.766 0.38187E+01 18.00000 2.0
5.766 0.38614E+01 18.00000 2.0
5.766 0.39023E+01 18.00000 2.0
5.766 0.39415E+01 18.00000 2.0
5.766 0.39791E+01 18.00000 2.0
5.766 0.40151E+01 18.00000 2.0
5.766 0.40497E+01 18.00000 2.0
5.766 0.39778E+01 18.00000 2.0
5.766 0.40579E+01 18.00000 2.0
5.766 0.41311E+01 18.00000 2.0
5.766 0.41984E+01 18.00000 2.0
5.766 0.42602E+01 18.00000 2.0
5.766 0.43174E+01 18.00000 2.0
5.766 0.43704E+01 18.00000 2.0
5.766 0.44197E+01 18.00000 2.0
5.766 0.44656E+01 18.00000 2.0
5.766 0.45085E+01 18.00000 2.0
5.766 0.45486E+01 18.00000 2.0
5.766 0.45863E+01 18.00000 2.0
5.766 0.46217E+01 18.00000 2.0
5.766 0.46550E+01 18.00000 2.0
5.766 0.46865E+01 18.00000 2.0
5.766 0.47162E+01 18.00000 2.0
5.766 0.47443E+01 18.00000 2.0
5.766 0.46592E+01 18.00000 2.0
5.766 0.46886E+01 18.00000 2.0
5.766 0.47165E+01 18.00000 2.0
5.766 0.47429E+01 18.00000 2.0
5.766 0.47681E+01 18.00000 2.0
5.766 0.47921E+01 18.00000 2.0
5.766 0.48149E+01 18.00000 2.0
5.766 0.48367E+01 18.00000 2.0
5.766 0.48575E+01 18.00000 2.0
5.766 0.48774E+01 18.00000 2.0
5.766 0.48965E+01 18.00000 2.0
5.766 0.49147E+01 18.00000 2.0
5.766 0.49322E+01 18.00000 2.0
5.766 0.49490E+01 18.00000 2.0
5.766 0.49652E+01 18.00000 2.0
5.766 0.49807E+01 18.00000 2.0
5.766 0.49956E+01 18.00000 2.0
5.766 0.50100E+01 18.00000 2.0
5.766 0.50238E+01 18.00000 2.0
5.766 0.50371E+01 18.00000 2.0
5.766 0.26921E+01 22.00000 2.0
5.766 0.27372E+01 22.00000 2.0
5.766 0.27810E+01 22.00000 2.0
5.766 0.28236E+01 22.00000 2.0
5.766 0.28649E+01 22.00000 2.0
5.766 0.29052E+01 22.00000 2.0
5.766 0.29443E+01 22.00000 2.0
5.766 0.29824E+01 22.00000 2.0
5.766 0.30194E+01 22.00000 2.0
5.766 0.30555E+01 22.00000 2.0
5.766 0.30906E+01 22.00000 2.0
5.766 0.31249E+01 22.00000 2.0
5.766 0.31582E+01 22.00000 2.0
5.766 0.31908E+01 22.00000 2.0
5.766 0.31724E+01 22.00000 2.0
5.766 0.32233E+01 22.00000 2.0
5.766 0.32723E+01 22.00000 2.0
5.766 0.33195E+01 22.00000 2.0
5.766 0.33649E+01 22.00000 2.0
5.766 0.34086E+01 22.00000 2.0
5.766 0.34508E+01 22.00000 2.0
5.766 0.34915E+01 22.00000 2.0
5.766 0.35308E+01 22.00000 2.0
